Nom,Note,Avis,Ville,Pays,Population ville,Population et périphérie
Burgers & Wine,4,41,Helsinki,Finlande,674.500,674.500
Minato Sushi,5,36,Helsinki,Finlande,656.920,656.920
Fulbari,5,208,Helsinki,Finlande,656.920,656.920
Restaurant & Bar Lia,5,93,Helsinki,Finlande,674.500,674.500
Gastro Hub,5,403,Helsinki,Finlande,674.500,674.500
Ravintola Rioni,5,434,Helsinki,Finlande,674.500,674.500
Gran Delicato,5,280,Helsinki,Finlande,674.500,674.500
Spis,5,288,Helsinki,Finlande,674.500,674.500
Baskeri & Basso,5,321,Helsinki,Finlande,674.500,674.500
Levant Boulevard,5,343,Helsinki,Finlande,674.500,674.500
Olo  Ravintola,5,807,Helsinki,Finlande,674.500,674.500
Finlandia Caviar,5,309,Helsinki,Finlande,674.500,674.500
Vinkkeli,5,276,Helsinki,Finlande,674.500,674.500
Natura,5,285,Helsinki,Finlande,674.500,674.500
Ravintola Kuu,5,1116,Helsinki,Finlande,674.500,674.500
Finnjavel Salonki,5,429,Helsinki,Finlande,674.500,674.500
Ravintola Everest Katajanokka,4,396,Helsinki,Finlande,674.500,674.500
Pompier Espa,5,351,Helsinki,Finlande,674.500,674.500
Ravintola Ragu,5,952,Helsinki,Finlande,674.500,674.500
BLINIt Russian Restaurant,5,676,Helsinki,Finlande,674.500,674.500
Nokka,5,632,Helsinki,Finlande,674.500,674.500
Restaurant Muru,4,681,Helsinki,Finlande,674.500,674.500
Ravintola Nerone,4,643,Helsinki,Finlande,674.500,674.500
Passio Keittio Ja Baari,5,975,Helsinki,Finlande,674.500,674.500
Ravintola KuuKuu,4,371,Helsinki,Finlande,674.500,674.500
Konstan Möljä,4,1059,Helsinki,Finlande,674.500,674.500
HOKU,5,396,Helsinki,Finlande,656.920,656.920
Restaurant Savoy,4,516,Helsinki,Finlande,674.500,674.500
Restaurant Kannas,4,554,Helsinki,Finlande,674.500,674.500
Shelter,5,300,Helsinki,Finlande,656.920,656.920
